"Fecha","Primera","Segunda","Unica","Refuerzo"
"24-Mar","17294360.0","16789668.0","574534.0","13506716.0"
"25-Mar","17297319.0","16796797.0","574542.0","13536517.0"
"26-Mar","17297739.0","16797743.0","574542.0","13543165.0"
"27-Mar","17297771.0","16797807.0","574542.0","13543382.0"
"28-Mar","17300473.0","16804430.0","574542.0","13563649.0"
"29-Mar","17302672.0","16809985.0","574585.0","13582719.0"
"30-Mar","17305015.0","16815038.0","574586.0","13601760.0"
"31-Mar","17307005.0","16819384.0","574588.0","13619235.0"
"01-Abr","17309434.0","16825412.0","574589.0","13642838.0"
"02-Abr","17309723.0","16826085.0","574591.0","13647652.0"
"03-Abr","17309736.0","16826108.0","574591.0","13647843.0"
"04-Abr","17312103.0","16830990.0","574593.0","13666049.0"
"05-Abr","17314262.0","16835108.0","574595.0","13683871.0"
"06-Abr","17316223.0","16838868.0","574595.0","13702273.0"
"07-Abr","17318084.0","16842257.0","574598.0","13719319.0"
"08-Abr","17320170.0","16846865.0","574603.0","13740123.0"
"09-Abr","17320504.0","16847654.0","574604.0","13745748.0"
"10-Abr","17320523.0","16847680.0","574604.0","13745891.0"
"11-Abr","17322488.0","16851427.0","574605.0","13762679.0"
"12-Abr","17324085.0","16854485.0","574605.0","13780263.0"
