"","Positividad","Positividad últimos 7 días"
"25-Abr","0.0339","0.0433"
"26-Abr","0.0377","0.0427"
"27-Abr","0.0419","0.0422"
"28-Abr","0.0429","0.0419"
"29-Abr","0.0447","0.0419"
"30-Abr","0.0465","0.0411"
"01-May","0.0423","0.0414"
"02-May","0.0388","0.0421"
"03-May","0.038","0.0422"
"04-May","0.0457","0.0427"
"05-May","0.0535","0.0442"
"06-May","0.0557","0.0458"
"07-May","0.0597","0.0477"
"08-May","0.0557","0.0496"
"09-May","0.053","0.0516"
"10-May","0.0568","0.0543"
"11-May","0.0607","0.0564"
"12-May","0.0689","0.0586"
"13-May","0.0758","0.0615"
"14-May","0.0799","0.0644"
"15-May","0.0751","0.0672"
"16-May","0.0766","0.0705"
"17-May","0.0764","0.0733"
"18-May","0.0884","0.0773"
"19-May","0.0878","0.08"
"20-May","0.0927","0.0824"
"21-May","0.0928","0.0843"
"22-May","0.087","0.086"
"23-May","0.0753","0.0858"
"24-May","0.0975","0.0888"
"25-May","0.1019","0.0907"
"26-May","0.1046","0.0931"
