"","ocupados","disponibles"
"28-Jul","1735","270"
"29-Jul","1720","289"
"30-Jul","1718","293"
"31-Jul","1723","278"
"01-Ago","1693","308"
"02-Ago","1733","273"
"03-Ago","1742","249"
"04-Ago","1751","234"
"05-Ago","1750","230"
"06-Ago","1712","266"
"07-Ago","1700","262"
"08-Ago","1685","288"
"09-Ago","1697","273"
"10-Ago","1716","251"
"11-Ago","1722","246"
"12-Ago","1702","253"
"13-Ago","1716","237"
"14-Ago","1655","304"
"15-Ago","1715","247"
"16-Ago","1683","281"
"17-Ago","1701","263"
"18-Ago","1709","255"
"19-Ago","1712","254"
"20-Ago","1720","246"
"21-Ago","1684","278"
"22-Ago","1662","303"
"23-Ago","1707","256"
"24-Ago","1694","263"
"25-Ago","1695","259"
"26-Ago","1688","265"
"27-Ago","1695","263"
"28-Ago","1659","308"
"29-Ago","1662","303"
"30-Ago","1698","267"
"31-Ago","1721","242"
"01-Sep","1696","262"
"02-Sep","1681","280"
"03-Sep","1675","272"
"04-Sep","1659","294"
"05-Sep","1637","320"
"06-Sep","1660","292"
"07-Sep","1662","291"
"08-Sep","1670","286"
"09-Sep","1656","301"
"10-Sep","1666","288"
"11-Sep","1650","302"
"12-Sep","1667","287"
"13-Sep","1679","274"
