"Region","Antofagasta","Arica y Parinacota","Atacama","Aysén","Biobío","Coquimbo","Araucanía","O’Higgins","Los Lagos","Los Ríos","Magallanes","Maule","Metropolitana","Tarapacá","Valparaíso","Ñuble"
"01-Ago","19.5","40.9","27.5","1.1","9.6","15.3","3.4","8.9","12.6","1.3","11.9","8.2","9.3","26.7","7.6","5.2"
"02-Ago","19.1","37.5","24.9","1.5","9.6","14.7","3.7","8.6","12.5","1.2","13.1","7.9","9.3","27.4","8.0","5.8"
"03-Ago","19.2","36.5","30.3","1.1","9.6","14.0","3.7","8.5","11.5","1.3","13.8","7.6","8.9","25.3","7.8","4.7"
"04-Ago","18.3","34.1","29.7","1.1","9.4","14.1","3.6","8.7","11.7","1.2","14.6","8.2","8.6","17.2","7.8","4.7"
"05-Ago","18.8","32.1","34.5","0.8","9.5","13.1","3.3","8.4","12.1","1.3","16.4","7.5","8.6","18.0","7.8","4.6"
"06-Ago","19.7","32.0","32.0","0.9","9.7","13.5","3.7","8.3","12.3","1.2","15.4","7.3","8.6","15.1","7.9","4.3"
"07-Ago","19.2","32.1","32.5","0.8","10.1","12.5","3.5","8.9","12.6","1.2","14.5","7.6","8.5","17.0","8.0","4.9"
"08-Ago","19.9","30.4","34.5","0.8","10.1","12.6","3.4","10.8","12.1","1.6","16.8","8.4","8.4","15.6","8.4","5.5"
"09-Ago","19.7","34.7","30.6","1.5","10.4","12.9","3.2","10.9","12.1","1.5","17.1","8.3","8.2","16.6","8.3","5.6"
"10-Ago","19.7","37.2","38.4","1.6","10.3","13.8","3.2","10.9","12.2","1.7","19.6","8.2","8.0","16.2","8.5","6.1"
"11-Ago","19.7","38.0","42.7","1.6","10.5","13.7","3.1","11.6","11.0","2.0","19.6","7.9","8.0","18.6","8.4","6.3"
"12-Ago","18.0","41.0","40.1","1.6","10.0","13.7","3.3","12.4","11.1","2.1","19.0","8.1","7.6","18.2","8.7","6.5"
"13-Ago","17.5","38.9","41.4","1.5","10.3","14.0","3.0","12.4","10.7","2.2","17.0","7.9","7.4","19.9","8.6","7.0"
"14-Ago","17.6","38.8","40.8","1.2","10.1","13.9","3.1","11.7","10.2","2.3","20.3","7.6","7.5","19.4","8.8","6.6"
"15-Ago","16.4","39.9","40.2","1.3","10.0","15.3","3.5","9.4","9.8","1.9","20.7","7.4","7.2","20.3","8.4","5.5"
"16-Ago","16.2","36.3","45.7","0.5","10.0","15.3","3.4","9.3","9.7","2.0","23.9","7.7","7.1","19.0","8.8","4.9"
"17-Ago","15.4","34.3","36.9","0.4","10.5","14.7","3.2","8.8","9.3","1.6","21.3","7.7","6.9","20.6","8.6","4.9"
"18-Ago","15.0","32.0","36.8","0.4","10.2","15.1","3.5","8.2","9.6","1.2","23.9","7.8","6.7","18.3","8.5","5.2"
"19-Ago","14.8","27.4","34.6","0.4","10.6","15.3","3.4","7.5","9.0","1.1","25.2","7.9","6.5","17.5","8.6","5.0"
"20-Ago","14.1","27.8","32.6","0.5","10.9","14.6","3.4","7.4","9.3","0.9","29.0","8.4","6.5","16.3","8.4","5.3"
"21-Ago","14.1","27.6","30.5","0.5","11.2","14.5","3.8","7.3","9.0","1.0","32.4","8.5","6.1","16.5","8.5","5.6"
"22-Ago","13.7","26.9","29.5","0.7","11.8","14.2","3.8","7.3","8.7","1.2","34.4","8.5","6.3","16.4","8.3","7.2"
"23-Ago","12.7","24.4","26.5","0.4","12.4","15.1","3.7","7.1","8.3","1.6","38.3","8.2","6.1","16.9","8.0","7.9"
"24-Ago","13.1","25.0","26.1","0.5","12.9","15.6","3.6","8.2","8.4","1.7","46.1","8.3","6.1","15.5","8.3","8.6"
"25-Ago","13.0","24.4","24.4","1.1","13.2","15.2","3.6","8.4","8.0","1.8","48.3","8.3","6.3","14.8","8.3","8.8"
